Volume,Trades,Bar Size,High,Low,Open,Close,Delta T/D,Delta Aggressor,H/L Side,O/C Side,O/C Size,Max Volume,M/V Price,M/V Trades,M/V Delta T/D,M/V Delta Aggressor,Max Trade,Max Tick,Ticks Number,OI Delta,TPO High,TPO Low,COT High,COT Low,Max Delta T/D,Max Delta Aggressor,returns
880254,423354,59,2961.75,2947.25,2948.0,2951.5,-11510,3962,1,1,14,39685,2958.0,19956,-3271,-295,0,0,0,-6365,2959.0,2953.0,345,4191,7949,3601,0.009750256585699724
1450849,645636,87,2969.25,2947.75,2957.75,2948.25,-25821,-627,1,-1,38,52374,2955.75,20972,-3312,-2660,0,0,0,12918,2960.25,2953.25,-10465,5148,-8315,-3463,-0.0011011350160935462
1611560,711231,137,2964.5,2930.5,2930.75,2958.25,-8296,21930,1,1,110,40372,2960.5,14184,970,398,0,0,0,-1939,2961.5,2947.75,12668,22078,-6486,3980,0.0033918426185024497
1286960,610230,87,2936.75,2915.25,2924.75,2931.5,3448,19148,1,1,27,46632,2922.75,22539,-5716,480,0,0,0,91329,2930.75,2921.0,-4741,13547,7071,4221,-0.009042508239668678
1537638,678508,191,2936.5,2889.0,2898.0,2926.0,11036,21098,1,1,112,37899,2928.5,16551,-4539,-1623,0,0,0,257153,2932.75,2920.0,9303,23440,-7027,4691,-0.0018761726078799779
814406,363880,52,2904.75,2892.0,2895.0,2897.75,-4596,-9060,-1,1,11,47913,2898.0,22275,-4067,33,0,0,0,497477,2900.25,2895.0,-10736,-4058,6971,-2910,-0.009654818865345138
643506,320704,74,2898.75,2880.5,2893.75,2891.75,8322,8842,-1,-1,8,23079,2888.25,9299,1975,639,0,0,0,-758421,2890.0,2882.25,7753,14295,3122,2567,-0.002070571995513748
1126883,540243,118,2896.5,2867.25,2882.0,2894.5,16233,24593,1,1,50,35253,2889.0,16527,-1955,-97,0,0,0,-9115,2893.75,2886.5,19866,28694,4493,2432,0.0009509812397336947
1105408,518215,64,2891.0,2875.25,2887.25,2881.5,2258,5654,-1,-1,23,53961,2880.75,22452,4475,2793,0,0,0,-143503,2883.5,2877.75,5229,10136,6582,3890,-0.004491276558991175
1326876,607016,130,2911.5,2879.25,2890.25,2887.5,21934,13064,-1,-1,11,28675,2884.5,13937,2721,1381,0,0,0,-38272,2900.0,2880.5,-3128,7728,4334,-3144,0.0020822488287350893
1345204,611542,102,2905.75,2880.5,2893.25,2890.0,460,1228,1,-1,13,31057,2894.0,14131,-179,-2337,0,0,0,-17897,2899.0,2887.75,-12468,5596,-5750,-3176,0.0008658008658009031
1603998,714781,194,2886.25,2838.0,2840.0,2877.5,24492,6892,1,1,150,38658,2879.75,18241,-3570,-1006,0,0,0,13679,2883.5,2865.0,-18118,7102,7409,-3497,-0.004325259515570945
1529966,731585,162,2853.0,2812.75,2820.5,2840.5,2496,1166,1,1,80,32442,2830.0,15964,-382,786,0,0,0,-4709,2839.75,2822.5,-2673,4768,4660,-2704,-0.012858384013900936
1692250,816019,115,2829.5,2801.0,2806.5,2828.25,-5470,11652,1,1,87,35400,2814.0,17231,4754,2442,0,0,0,-1915,2822.5,2808.75,118,17882,4754,4012,-0.004312621017426466
1779429,806762,250,2806.25,2744.0,2754.0,2805.5,43907,38057,1,1,206,32443,2804.0,8496,4661,1975,0,0,0,-24388,2806.0,2769.5,-535,41154,6089,5303,-0.008043843366039027
2249582,1079399,141,2763.75,2728.75,2741.0,2753.75,-8166,5972,-1,1,51,35144,2738.0,17171,1264,850,0,0,0,-8483,2750.25,2733.75,-10478,3883,5066,4672,-0.018445909819996387
